,Cement,Blast_Furnace_Slag,Fly_Ash,Water,Superplasticizer,Coarse_Aggregate,Fine_Aggregate,Age,Strength,Concrete_Grade
145,145.4,0.0,178.9,201.7,7.8,824.0,868.7,28,10.54,NoClass
146,310.0,142.8,0.0,167.9,10.0,914.3,804.0,28,45.3,C35/45
147,480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,43.89,C30/37
148,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5,C50/60
149,250.0,0.0,95.7,191.8,5.3,948.9,857.2,14,24.66,C16/20
150,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28,33.27,C25/30
151,162.0,190.0,148.0,179.0,19.0,838.0,741.0,28,33.76,C25/30
152,359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,62.94,C50/60
153,304.8,0.0,99.6,196.0,9.8,959.4,705.2,28,30.12,C25/30
154,326.0,0.0,138.0,199.0,11.0,801.0,792.0,28,40.68,C30/37
155,194.7,0.0,100.5,170.2,7.5,998.0,901.8,14,24.28,C16/20
156,135.0,105.0,193.0,196.0,6.0,965.0,643.0,28,21.91,C16/20
157,173.0,116.0,0.0,192.0,0.0,946.8,856.8,28,24.28,C16/20
158,322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,29.59,C20/25
159,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2,C40/50
160,141.3,212.0,0.0,203.5,0.0,971.8,748.5,90,39.66,C30/37
161,356.0,0.0,142.0,193.0,11.0,801.0,778.0,28,40.87,C30/37
162,387.0,20.0,94.0,157.0,11.6,938.0,845.0,3,34.77,C25/30
163,272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,19.77,C12/15
164,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66,C25/30
165,277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25,C25/30
166,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23,C30/37
167,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,C40/50
168,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56,39.27,C30/37
169,250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,12.73,NoClass
170,305.3,203.5,0.0,203.5,0.0,965.4,631.0,3,14.14,NoClass
171,164.0,163.0,128.0,197.0,8.0,961.0,641.0,28,27.23,C20/25
172,326.0,166.0,0.0,174.0,9.0,882.0,790.0,28,61.23,C50/60
173,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,55.25,C45/55
174,266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42,C30/37
175,279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83,C40/50
176,210.7,316.1,0.0,185.7,0.0,977.0,689.3,7,21.82,C16/20
177,439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1,C45/55
178,333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,31.97,C25/30
179,143.0,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73,C20/25
180,333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62,C12/15
181,480.0,0.0,0.0,192.0,0.0,936.2,712.2,90,54.32,C40/50
182,136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,26.97,C20/25
183,520.0,0.0,0.0,175.0,5.2,870.0,805.0,28,51.02,C40/50
184,144.8,0.0,133.6,180.8,11.1,979.5,811.5,28,13.2,NoClass
185,300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28,26.85,C20/25
186,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34,C12/15
187,298.0,0.0,107.0,210.0,11.0,880.0,744.0,28,31.87,C25/30
188,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32,C16/20
189,313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.8,C25/30
190,339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04,C25/30
191,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.1,C25/30
192,166.0,260.0,0.0,183.0,13.0,859.0,827.0,28,37.91,C30/37
193,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9,C40/50
194,277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04,C40/50
195,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85,C25/30
196,284.0,15.0,141.0,179.0,5.5,842.0,801.0,3,13.4,NoClass
197,153.0,145.0,113.0,178.0,8.0,867.0,824.0,28,26.23,C20/25
198,102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.28,C12/15
199,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54,C16/20
200,334.0,17.6,158.0,189.0,15.3,967.0,633.0,28,44.33,C30/37
201,500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.57,C50/60
202,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14,38.77,C30/37
203,255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86,C16/20
204,148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,26.92,C20/25
205,154.0,174.0,185.0,228.0,7.0,845.0,612.0,28,24.34,C16/20
206,350.0,0.0,0.0,203.0,0.0,974.0,775.0,28,27.34,C20/25
207,275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28,24.5,C16/20
208,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03,C45/55
209,202.0,11.0,141.0,206.0,1.7,942.0,801.0,3,9.85,NoClass
210,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45,C25/30
211,255.5,170.3,0.0,185.7,0.0,1026.6,724.3,28,32.05,C25/30
212,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,C25/30
213,158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,9.62,NoClass
214,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.18,C20/25
215,132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3,C25/30
216,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55,C20/25
217,148.5,139.4,108.6,192.7,6.1,892.4,780.0,28,23.7,C16/20
218,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07,C50/60
219,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8,C35/45
220,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,C35/45
221,236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.47,NoClass
222,290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67,C25/30
223,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04,C12/15
224,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,67.11,C50/60
225,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,C50/60
226,310.0,143.0,0.0,168.0,10.0,914.0,804.0,28,45.3,C35/45
227,325.6,166.4,0.0,174.0,8.9,881.6,790.0,28,61.24,C50/60
228,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3,13.62,NoClass
229,385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92,C20/25
230,236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42,C16/20
231,143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15,C20/25
232,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,C30/37
233,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67,C35/45
234,150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.57,C12/15
235,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3,C20/25
236,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,C30/37
237,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,C30/37
238,385.0,0.0,136.0,158.0,20.0,903.0,768.0,28,55.55,C45/55
239,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56,42.55,C30/37
240,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120,40.86,C30/37
241,236.9,91.7,71.5,246.9,6.0,852.9,695.4,28,28.63,C20/25
242,155.0,183.0,0.0,193.0,9.0,877.0,868.0,28,23.79,C16/20
243,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.76,C25/30
244,250.0,180.0,95.0,159.0,9.5,860.0,800.0,28,67.87,C50/60
245,491.0,26.0,123.0,201.0,3.9,822.0,699.0,7,37.92,C30/37
246,250.0,0.0,95.7,191.8,5.3,948.9,857.2,28,27.22,C20/25
247,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,52.61,C40/50
248,313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28,41.05,C30/37
249,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,C30/37
250,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7,C45/55
251,249.1,0.0,98.8,158.1,12.8,987.8,889.0,3,15.36,C12/15
252,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,C50/60
253,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6,C30/37
254,149.0,153.0,194.0,192.0,8.0,935.0,623.0,28,24.58,C16/20
255,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87,NoClass
256,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78,C30/37
257,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72,C25/30
258,222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45,C20/25
259,133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.03,C25/30
260,290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86,C16/20
261,298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86,C25/30
262,159.0,187.0,0.0,176.0,11.0,990.0,789.0,28,32.76,C25/30
263,387.0,20.0,94.0,157.0,14.3,938.0,845.0,7,36.84,C25/30
264,424.0,22.0,132.0,168.0,8.9,822.0,750.0,7,40.29,C30/37
265,382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,37.44,C30/37
266,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42,C30/37
267,250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22,C20/25
268,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1,C16/20
269,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28,27.94,C20/25
270,239.6,359.4,0.0,185.7,0.0,941.6,664.3,28,39.44,C30/37
271,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.77,C12/15
272,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,C35/45
273,307.0,0.0,0.0,193.0,0.0,968.0,812.0,3,12.54,NoClass
274,393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85,C35/45
275,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100,58.61,C45/55
276,155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28,12.46,NoClass
277,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,C30/37
278,236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,24.1,C16/20
279,265.0,111.0,86.0,195.0,6.0,833.0,790.0,28,41.54,C30/37
280,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,100,50.08,C40/50
281,299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,23.84,C16/20
282,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42,C50/60
283,194.7,0.0,100.5,170.2,7.5,998.0,901.8,100,44.28,C30/37
284,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,C50/60
285,233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,22.14,C16/20
286,313.0,145.0,0.0,178.0,8.0,867.0,824.0,28,44.39,C30/37
287,284.0,15.0,141.0,179.0,5.5,842.0,801.0,28,43.73,C30/37
288,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7,C30/37
289,387.0,20.0,94.0,157.0,13.9,938.0,845.0,28,46.68,C35/45
290,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56,C30/37
291,252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47,NoClass
292,255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.75,C12/15
293,259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77,C35/45
294,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32,C50/60
295,152.0,0.0,112.0,184.0,8.0,992.0,816.0,28,12.18,NoClass
296,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,28,24.85,C16/20
297,164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.03,C12/15
298,382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47,NoClass
299,522.0,0.0,0.0,146.0,0.0,896.0,896.0,7,50.51,C40/50
300,143.6,0.0,174.9,158.4,17.9,942.7,844.5,28,15.42,C12/15
301,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64,NoClass
302,153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28,19.01,C12/15
303,316.1,210.7,0.0,185.7,0.0,977.0,689.3,28,38.7,C30/37
304,162.0,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76,C25/30
305,151.0,0.0,184.0,167.0,12.0,991.0,772.0,28,15.57,C12/15
306,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77,C40/50
307,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28,43.7,C30/37
308,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.31,C50/60
309,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35,C25/30
310,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,C30/37
311,480.0,0.0,0.0,192.0,0.0,936.2,712.2,3,24.4,C16/20
312,273.0,105.0,82.0,210.0,9.0,904.0,680.0,28,37.17,C30/37
313,322.0,0.0,116.0,196.0,10.0,818.0,813.0,28,31.18,C25/30
314,339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22,NoClass
315,322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.43,C40/50
316,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3,C50/60
317,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29,C16/20
318,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56,51.43,C40/50
319,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,C30/37
320,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,C50/60
321,122.6,183.9,0.0,203.5,0.0,958.2,800.1,7,10.35,NoClass
322,148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.96,C12/15
323,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24,C20/25
324,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08,C16/20
325,339.0,0.0,0.0,197.0,0.0,968.0,781.0,14,27.04,C20/25
326,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24,C25/30
327,157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,33.66,C25/30
328,305.0,0.0,100.0,196.0,10.0,959.0,705.0,28,30.12,C25/30
329,141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.39,NoClass
330,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,33.08,C25/30
331,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28,52.5,C40/50
332,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14,36.99,C25/30
333,316.1,210.7,0.0,185.7,0.0,977.0,689.3,7,24.44,C16/20
